,BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA
"G191
102",,"10.10.1998
ID: 3269",,"IONESCO, Eugene",,"Stolice / Eugene Ionesco. U očekivanju Godota / Sa Zagreb : Zagrebgrafo, 1992",,,,,Vlastita kupnja,,5.31,,,DA,,840 ION S,,,
"G192
103",,"10.10.2000
ID: 3195",,"ŠOLJAN, Antun",,"Kratki izlet / Antun Šoljan. -
Zagreb : Konzor ; Varaždin : ˝Katarina Zrinski˝, 1996",,,,,Vlastita kupnja,,6.64,,,DA,,821.163.42-3 ŠOLJA kra,,,
"G193
104",,"10.10.1996
ID: 3130",,"KRLEŽA, Miroslav",,"Novele / Miroslav Krleža ; priredio Dean Duda. - Zagreb : Školska knjiga, 1995",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 KRL NO,,,
"G195
105",,"10.10.2000
ID: 5595",,"HARTL, Vladimir",,"Električni strojevi 2 : udžbenik za elektrotehničk Zagreb : Školska knjiga, 1996",,,,,Vlastita kupnja,,10.62,,,DA,,621.3 HARTL ele.2,,,
"G201
106",,"14.01.1994
ID: 4552",,STATISTIČKI ljetopis,,"Statistički ljetopis 1992 = statistical yearbook. Zagreb : Državni zavod za statistiku Republike Hrvatske, 1993",,,,,Dar,,19.91,,,DA,,519.2 STATI 1992,,,
"G202
107",,"10.10.1993
ID: 3837",,Popis stanocništva 1991,,"Popis stanovništva 1991 : Narodnosni sastav stanov Zagreb : Republički zavod za statistiku, 1992",,,,,Ministarstvo,,6.64,,,DA,,19133,,,
"G204
108",,"10.10.1999
ID: 3543",,"TALIJANČIĆ, Boris",,"Borna / scenarij i crtež Boris Talijančić ; povije Zagreb : Školske novine, 1996-",,,,,Vlastita kupnja,,5.31,,,DA,,741.5 TALIJ bor,,,
"G209
109",,"10.10.1999
ID: 5682",,"HALVORSON, Michael",,"Kako koristiti Microsoft Office 97 / Michael Halvo Zagreb : Znak, 1997",,,Z,,Vlastita kupnja,,13.27,,,DA,,004 HALVO kak97 ( Z),,,
"G211
110",,"11.02.2016
ID: 6183",,"COLIN, Simon",,"Kako radi multimedija / Simon Colin ; [prevela s e Zagreb : Znak, 1995",,,,,Vlastita kupnja,,14.60,,,DA,,004 COL K,,,
"G216
111",,"18.10.2016
ID: 6690",,"PALMER, Scott",,"Access 2 za neznalice / Scott Palmer ; predgovor F Zagreb : Znak, 1995",,,,,Vlastita kupnja,,11.95,,,DA,,004.4 PAL A,,,
"G221
112",,"11.02.2016
ID: 6185",,INFORMATIČKI,,"Informatički rječnik : cjelovit i detaljan priručn Zagreb : Znak, 1995",,,,,Vlastita kupnja,,19.91,,,DA,,Č 03 INF,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G222
113",,"10.10.1999
ID: 5679",,"GAZIVODA, Siniša",,"Microsoft Word 97 : tako lako / Siniša Gazivoda. - Zagreb : Znak, 1997",,,,,Vlastita kupnja,,13.27,,,DA,,004.4 GAZ MI,,,
"G223
114",,"18.10.2016
ID: 6690",,"PALMER, Scott",,"Access 2 za neznalice / Scott Palmer ; predgovor F Zagreb : Znak, 1995",,,,,Vlastita kupnja,,11.95,,,DA,,004.4 PAL A,,,
"G225
115",,"18.10.2016
ID: 6691",,"SMITH, Bud",,"AutoCAD za neznalice / Bud Smith ; [prevela s engl Zagreb : Znak, 1995",,,,,Vlastita kupnja,,13.27,,,DA,,004.4 SMI A,,,
"G227
116",,"16.03.2016
ID: 6346",,"ČIŽMAR, Sanja",,"Gospodarsko poslovanje : udžbenik za prve razrede Zagreb : Školska knjiga, 1997",,,,,Vlastita kupnja,,6.64,,,DA,,338.48 ČIŽ G,,,
"G228
117",,"10.10.1998
ID: 3139",,"KOZARAC, Ivan",,"Đuka Begović / Ivan Kozarac ; priredio Stjepan Dam Vinkovci : Riječ, 1997",,,,,Vlastita kupnja,,5.31,,,DA,,886.2 KOZA.I Đ,,,
"G229
118",,"10.10.1998
ID: 3127",,"KUMIČIĆ, Eugen",,"Olga i Lina / Eugen Kumičić ; priredila Ana Ledere Vinkovci : Riječ, 1997",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 KUM.E OL,,,
"G230
119",,"20.10.1998
ID: 3194",,"ŠOLJAN, Antun",,"Izabrana djela / Antun Šoljan ; priredila Ljiljana Vinkovci : Riječ, 1997",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 ŠOLJ I,,,
"G231
120",,"09.02.2016
ID: 6125",,"PUPAČIĆ, Josip",,"Izabrane pjesme / Josip Pupačić ; priredio Stijepo Vinkovci : Riječ, 1997",,,,,Dar,,6.64,,,DA,,886.2-1 PUPAČ iza,,,
"G232
121",,"10.10.1998
ID: 3091",,"CESAREC, August",,"Tonkina jedina ljubav ; Sin domovine / August Cesa Vinkovci : Riječ, 1997",,,,,Vlastita kupnja,,6.64,,,DA,,886.2-8 CES t,,,
"G233
122",,"10.10.1997
ID: 3144",,"KOVAČIĆ, Ivan Goran",,"Izabrane pjesme ; Jama / Ivan Goran Kovačić ; prir Zagreb : Matica hrvatska, 1997",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 KOVAČI.I IZ,,,
"G234
123",,"10.10.1998
ID: 3163",,"LESKOVAR, Janko",,"Pripovijesti / Janko Leskovar ; priredila Jadranka Vinkovci : Riječ, 1997",,,,,Vlastita kupnja,,5.31,,,DA,,886.2 LES PRI,,,
"G235
124",,"10.10.1998
ID: 3106",,"KOSOR, Josip",,"Požar strasti ; Pripovijesti / Josip Kosor ; prire Vinkovci : Riječ, 1997",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 KOSO P,,Otpisano 13.12.2023.,
"G236
125",,"10.10.1998
ID: 3172",,"NEHAJEV, Milutin",,"Vuci / Milutin Cihlar Nehajev ; priredio Krešimir Vinkovci : Riječ, 1997",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 NEH VU,,,
"G237
126",,"10.10.1998
ID: 3114",,"HORVAT-Kiš, Franjo",,"Pripovijetke i putopisi / Franjo Horvat Kiš ; prir Vinkovci : Riječ, 1997",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 HORV P,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G238
127",,"22.02.2016
ID: 6232",,HRVATSKE narodne epske,,"Hrvatske narodne epske pjesme / priredio Davor Duk Vinkovci : Riječ, 1997",,,,,Vlastita kupnja,,6.64,,,DA,,886.2-91 HRVA.E,,,
"G240
128",,"10.10.1998
ID: 3180",,"ŠENOA, August",,"Pjesme ; Prijan Lovro ; Zlatarevo zlato / August Š Vinkovci : Riječ, 1997",,,,,Vlastita kupnja,,6.64,,,DA,,886.2-1 ŠENOA pje,,,
"G241
129",,"10.10.1998
ID: 3154",,"MATOŠ, Antun Gustav",,"Pjesme ; Pripovijesti ; Putopisi / Antun Gustav Ma Vinkovci : Riječ, 1997",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 MATO PJESM.P,,,
"G242
130",,"10.10.1998
ID: 3095",,"BUDAK, Mile,, književnik",,"Pripovijesti / Mile Budak ; priredio Cvjetko Milan Vinkovci : Riječ, 1997. (Rijeka : Tiskara Rijeka)",,,,,Vlastita kupnja,,6.64,,,DA,,886.2-32 BUD p,,,
"G243
131",,"04.05.2016
ID: 6550",,"MARULIĆ, Marko",,"Judita / Marko Marulić ; priredio Antun Pavešković Vinkovci : Riječ, 1997",,,,,Vlastita kupnja,,7.83,,,DA,,821.163.42 MARU J,,,
"G244
132",,"10.10.1998
ID: 3086",,"DONADINI, Ulderiko",,"Izabrana proza / Ulderiko Donadini. - Vinkovci : Riječ, 1997",,,,,Vlastita kupnja,,6.64,,,DA,,886.2-3 DON i,,,
"G245
133",,"10.10.1998
ID: 3150",,"BRLIĆ-Mažuranić, Ivana",,"Priče iz davnine ; Čudnovate zgode šegrta Hlapića Vinkovci : Riječ, 1997",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 BRLI P,,,
"G246
134",,"10.10.1969
ID: 3204",,"VITEZ, Grigor",,"Pjesme / Grigor Vitez ; priredila Hrvojka Mihanovi Vinkovci : Riječ, 1997",,,,,Vlastita kupnja,,5.31,,,DA,,Č D VIT P,,,
"G247
135",,"10.10.1998
ID: 3183",,"RAOS, Ivan",,"Vječno nasmijano nebo / Ivan Raos ; priredila Ana Vinkovci : Riječ, 1997",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 RAO.I V,,,
"G248
136",,"10.10.1997
ID: 3134",,"KRANJČEVIĆ, Silvije Strahimir",,"Pjesme / Silvije Strahimir Kranjčević ; priredio V Vinkovci : Riječ, 1997",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 KRANJ P,,,
"G249
137",,"10.10.1998
ID: 3162",,"LOVRAK, Mato",,"Vlak u snijegu ; Družba Pere Kvržice ; Divlji dječ Vinkovci : Riječ, 1997",,,,,Vlastita kupnja,,3.98,,,DA,,Č D LOV V,,,
"G250
138",,"10.10.1998
ID: 3109",,"POLIĆ-Kamov, Janko",,"Pjesme ; Novele / Janko Polić Kamov ; priredio Cvj Vinkovci : Riječ, 1997",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 POLIĆ PJES,,,
"G251
139",,"10.10.1998
ID: 3089",,"DONČEVIĆ, Ivan",,"Mirotvorci / Ivan Dončević ; priredila Lina Kežić. Vinkovci : Riječ, 1997. (Rijeka : Tiskara Rijeka)",,,,,Vlastita kupnja,,7.96,,,DA,,886.2-31 DON m,,,
"G252
140",,"10.10.1998
ID: 3120",,"GJALSKI, Ksaver Šandor",,"Izabrana djela / Ksaver Šandor Gjalski ; priredila Vinkovci : Riječ, 1997",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 GJA IZ,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G255
141",,"01.01.1996
ID: 4118",,"FRANCE, Christine",,"Kuharica zdrave hrane : više od 220 ukusnih i zdra Rijeka : Leo Commerce, 1997",,,,,Vlastita kupnja,,51.76,,,DA,,64 FRA K,,,
"G257
142",,"14.11.1997
ID: 4501",,OXFORD-Duden-Naklada,,"Oxford-Duden-Naklada C : hrvatski i njemački sliko Zagreb : Naklada C, 1997",,,,,Vlastita kupnja,,39.82,,,DA,,801=862=3 OXF HR,,,
"G258
143",,"10.10.2000
ID: 4481",,OXFORD-Duden-Naklada C,,"Oxford-Duden-Naklada C : hrvatski i engleski sliko Zagreb : Naklada C, 1997",,,,,Vlastita kupnja,,33.18,,,DA,,801 OXF,,,
"G259
144",,"10.10.2000
ID: 4481",,OXFORD-Duden-Naklada C,,"Oxford-Duden-Naklada C : hrvatski i engleski sliko Zagreb : Naklada C, 1997",,,,,Vlastita kupnja,,33.18,,,DA,,801 OXF,,,
"G260
145",,"14.11.1997
ID: 4501",,OXFORD-Duden-Naklada,,"Oxford-Duden-Naklada C : hrvatski i njemački sliko Zagreb : Naklada C, 1997",,,,,Vlastita kupnja,,39.82,,,DA,,801=862=3 OXF HR,,,
"G261
146",,"16.03.2016
ID: 6340",,"ŽUVELA, Josip",,"Ugostiteljsko kuharstvo 1 : udžbenik za prvi razre Samobor : ˝A.G. Matoš˝, 1996",,,,,Vlastita kupnja,,5.31,,,DA,,64 ŽUV U,,,
"G262
147",,"10.10.2000
ID: 4273",,"GAJIĆ, Božidar",,"Ispitivanje tehničkih materijala : radni udžbenik Zagreb : Otvoreno sveučilište, 1997",,,,,Vlastita kupnja,,6.64,,,DA,,66 GAJ I,,,
"G263
148",,"09.02.2016
ID: 6121",,PJESNICI druge moderne,,"Pjesnici druge moderne : (Jure Kaštelan, Vesna Par ABC naklada, 1996",,,,,Vlastita kupnja,,9.29,,,DA,,886.2 PJES,,,
"G265
149",,"09.02.2016
ID: 6122",,"ŠEGEDIN, Petar",,"Novele / Petar Šegedin. - Zagreb : ABC naklada, 1996",,,,,Vlastita kupnja,,9.29,,,DA,,886.2 ŠEGE NO,,,
"G268
150",,"10.10.1996
ID: 3179",,"ŠENOA, August",,"Povjestice / August Šenoa ; priredio Stjepko Težak Zagreb : Školska knjiga, 1996",,,,,Vlastita kupnja,,3.98,,,DA,,886.2 ŠEN POV,,,
"G274
151",,"10.10.2000
ID: 5912",,5030 VERŠI NA ŠTERNI,,"Verši na šterni V. ; odabir pjesama Boris Biletić Poreč : Pučko otvoreno učilište, 1998",,,,,Dar,,6.64,,,DA,,886.2-1,,,
"G277
152",,"09.06.1998
ID: 3897",,"ROSIĆ, Vladimir",,"Obiteljska pedagogija / Vladimir Rosić. - Rijeka : Filozofski fakultet, 1998",,,,,Vlastita kupnja,,11.95,,,DA,,37 ROSIĆ obi,,,
"G279
153",,"25.02.2016
ID: 6262",,"MURAJA, Damir",,"Informatika I : udžbenik za 1. razred srednjih ško Zagreb : Profil international, 1995",,,,,Dar,,3.98,,,DA,,004 MUR I,,,
"G281
154",,"18.05.2016
ID: 6576",,"HERAK, Mira",,"Kemija oko nas : udžbenik za 1. razred strukovnih Zagreb : Profil International, 1998",,,,,Dar,,3.98,,,DA,,54 HER K,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G282
155",,"10.10.2002
ID: 4854",,"ĐURIĆ, Vesna",,"Hrvatska i svijet od prapovijesti do Francuske rev Zagreb : Profil, 1998",,,,,Dar,,6.64,,,DA,,94(075) ĐURIĆ hrv,,Otpisano 13.12.2023.,
"G295
156",,"10.10.2000
ID: 5562",,"NIKOLIĆ, Gojko",,Pneumatika i hidraulika : radni listovi / Nikolić Zagreb : 1998,,,,,Vlastita kupnja,,6.64,,,DA,,372.862.1 NIK p,,,
"G298
157",,"10.10.2000
ID: 5373",,"MAROŠEVIĆ, Ivan",,"Ugostiteljsko posluživanje 3 / Ivan Marošević. - Pula : HoReBa, 1998. (Samobor : ""A.G.Matoš"")",,,,,Dar,,9.95,,,DA,,372.864.2(075.3) MAR u,,,
"G300
158",,"10.10.2000
ID: 5159",,"TEŽAK, Stjepko",,"Hrvatski jezik : udžbenik za I. razred trogodišnji Zagreb : Znanje, 1998",,,,,Dar,,5.31,,,DA,,372 TEŽ h,,,
"G302
159",,"10.10.1998
ID: 5144",,"ROSANDIĆ, Dragutin",,"Priručnik za učitelje : uz Književnost 1 (udžbenik Zagreb : Profil, 1997",,,,,Dar,,3.98,,,DA,,371 ROS PR,,,
"G303
160",,"10.10.1999
ID: 5128",,"KURTAK, Marica",,"Uzorak izvedbenog programa iz hrvatskoga jezika (k Zagreb : Profil international, 1997",,,,,Dar,,3.98,,,DA,,371.3:81/82 KURTA uzo,,,
"G305
161",,"17.05.2016
ID: 6572",,"VRČEK, Ljubica",,"Biologija : udžbenik za strukovne škole : svezak C Zagreb : Profil, 1997",,,,,Dar,,6.64,,,DA,,57 VRČ B,,,
"G309
162",,"10.10.2000
ID: 4892",,"ŽUNEC, Ozren",,"Etika 2 : u potrazi za istinom : religije svijeta Zagreb : Profil International, 1998",,,,,Vlastita kupnja,,6.64,,,DA,,17 ŽUN E,,,
"G314
163",,"05.05.1998
ID: 4178",,"WHITEMAN, Kate",,"Tradicionalna kuharica 2 : namirnice / Kate Whitem Rijeka : Leo-commerce, 1998",,,,,Vlastita kupnja,,39.82,,,DA,,64 WHITE tra,,,
"G315
164",,"10.02.2016
ID: 6146",,[PETSTO] 500 čarobnih,,"[Petsto] 500 čarobnih kolača i slastica / [Alex Ba Rijeka : Leo-Commerce, 1998",,,,,Vlastita kupnja,,33.18,,,DA,,64 PET,,,
"G317
165",,"30.10.1998
ID: 3193",,"ŠOP, Nikola",,"Izabrane pjesme / Nikola Šop ; priredio Miroslav P Vinkovci : Riječ, 1998",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 ŠOP IZ,,,
"G318
166",,"22.02.2016
ID: 6235",,HRVATSKA srednjovjekovna književnost,,"Hrvatska srednjovjekovna književnost / priredio St Vinkovci : Riječ, 1998",,,,,Vlastita kupnja,,6.64,,,DA,,821.163.42(091) HRV.SR,,,
"G319
167",,"22.02.2016
ID: 6234",,GRADIŠĆANSKO hrvatska književnost,,"Gradišćansko hrvatska književnost / priredio Irvin Vinkovci : Riječ, 1998",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 GRAD,,,
"G320
168",,"10.10.1998
ID: 3171",,"NEMČIĆ, Antun",,"Putositnice / Antun Nemčić ; priredio Goran Pavoše Vinkovci : Riječ, 1998",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 NEM PU,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G321
169",,"30.10.1998
ID: 1499",,"ANDRIĆ, Ivo,, književnik",,"Izabrana djela / Ivo Andrić ; priredio Tihomil Maš Vinkovci : Riječ, 1998. (Rijeka : Tiskara Rijeka)",,,,,Vlastita kupnja,,3.98,,,DA,,886.2-821 AND i,,,
"G323
170",,"10.10.1998
ID: 3161",,"LUCIĆ, Hanibal",,"Odabrana djela / Hanibal Lucić, Petar Hektorović ; Vinkovci : Riječ, 1998",,,,,Vlastita kupnja,,3.98,,,DA,,886.2 LUCI O,,,
"G324
171",,"10.10.1998
ID: 3117",,"GUNDULIĆ, Ivan",,"Izabrana djela / Ivan Gundulić ; priredila Lahorka Vinkovci : Riječ, 1998",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 GUN I,,,
"G325
172",,"10.10.1998
ID: 3099",,"BONIFAČIĆ, Antun",,"Izabrane pjesme / Antun Bonifačić ; priredio Cvjet Vinkovci : Riječ, 1998",,,,,Vlastita kupnja,,6.64,,,DA,,886.2-1 BON i,,,
"G326
173",,"10.10.1998
ID: 3170",,"NIKOLIĆ, Vinko",,"Izabrane pjesme / Vinko Nikolić ; priredio Cvjetko Vinkovci : Riječ, 1998",,,,,Vlastita kupnja,,6.64,,,DA,,886.2-1 NIKOL iza,,,
"G327
174",,"10.10.1998
ID: 3090",,"CIRAKI, Franjo",,"Pjesme / Franjo Ciraki, August Harambašić ; prired Vinkovci : Riječ, 1998. (Rijeka : Tiskara Rijeka)",,,,,Vlastita kupnja,,6.64,,,DA,,886.2-1 CIR p,,,
"G328
175",,"10.10.1998
ID: 3149",,RANJININ zbornik : izbor,,"Ranjinin zbornik : izbor / priredila Sanja Jukić. Vinkovci : Riječ, 1998",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 RANJ,,,
"G329
176",,"10.10.1998
ID: 3087",,"DOMJANIĆ, Dragutin",,"Pjesme / Dragutin Domjanić ; priredio Mladen Kuzma Vinkovci : Riječ, 1998. (Rijeka : Tiskara Rijeka)",,,,,Vlastita kupnja,,6.64,,,DA,,886.2-1 DOM p,,,
"G330
177",,"10.10.1998
ID: 3088",,"DESNICA, Vladan,, književnik",,"Odabrana djela / Vladan Desnica ; priredio Krešimi Vinkovci : Riječ, 1998. (Rijeka : Tiskara Rijeka)",,,,,Vlastita kupnja,,6.64,,,DA,,886.2-821 DES o,,,
"G332
178",,"10.10.1999
ID: 3169",,"NOVAK, Vjenceslav",,"Posljednji Stipančići / Vjenceslav Novak ; priredi Vinkovci : Riječ, 1998",,,,,Vlastita kupnja,,6.64,,,DA,,886.2-3 NOVAK pos,,,
"G333
179",,"10.10.1998
ID: 3125",,"DRŽIĆ, Marin",,"Dundo Maroje i druga djela / Marin Držić ; priredi Vinkovci : Riječ, 1998",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 DRŽ.M DU,,,
"G334
180",,"10.10.1999
ID: 3203",,"VOJNOVIĆ, Ivo",,"Odabrana djela / Ivo Vojnović ; priredio Tihomil M Vinkovci : Riječ, 1998",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 VOJN.I O,,,
"G335
181",,"10.10.1999
ID: 3190",,"TOMIĆ, Josip Eugen",,"Opančarova kći ; Zmaj od Bosne / Josip Eugen Tomić Vinkovci : Riječ, 1998",,,,,Vlastita kupnja,,5.31,,,DA,,886.2 TOMIĆ.JO O,,,
"G336
182",,"10.10.1999
ID: 3187",,"PRERADOVIĆ, Petar",,"Pjesme / Petar Preradović ; priredio Goran Pavošev Vinkovci : Riječ, 1998",,,,,Vlastita kupnja,,5.31,,,DA,,886.2 PRER P,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G337
183",,"11.02.2016
ID: 6159",,"ŠIMUNOVIĆ, Dinko",,"Mrkodol i druge pripovijesti / Dinko Šimunović ; p Vinkovci : Riječ, 1998",,,,,Vlastita kupnja,,9.29,,,DA,,886.2 ŠIMU.D MR,,,
"G339
184",,"30.10.1998
ID: 3192",,"VEBER-Tkalčević, Adolf",,"Odabrana proza / Adolfo Veber Tkalčević ; priredio Vinkovci : Riječ, 1998",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 VEB O,,,
"G340
185",,"10.10.1999
ID: 3206",,"VIDRIĆ, Vladimir",,"Pjesme / Vladimir Vidrić ; priredio Josip Užarević Vinkovci : Riječ, 1998",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 VIDR P,,,
"G347
186",,"10.10.2004
ID: 5766",,"KULIŠIĆ, Petar",,"Fizika 2 : priručnik fizike za srednje strukovne š Zagreb : Školska knjiga, 1994",,,,,Dar,,6.64,,,DA,,53 KUL F,,,
"G354
187",,"13.04.2016
ID: 6467",,"RAJIĆ, Florijan",,"Osnove automatike - II. dio, automatsko reguliranj Zagreb : Tehnička škola Ruđera Boškovića, 1995",,,,,Dar,,6.64,,,DA,,53 RAJ O,,,
"G356
188",,"09.02.2016
ID: 6139",,"RAJIĆ, Florijan",,"Osnove automatike : priručnik za srednje škole / F Zagreb : Školska knjiga, 1975",,,,,Vlastita kupnja,,6.64,,,DA,,53 RAJ O,,,
"G363
189",,"07.04.2016
ID: 6428",,MICROSOFT Windows NT,,"Microsoft Windows NT Network Administration / [Pro Washington : Microsoft Press, 1996",,,,,Vlastita kupnja,,10.62,,,DA,,004.7=20 WIN,,,
"G364
190",,"07.04.2016
ID: 6428",,MICROSOFT Windows NT,,"Microsoft Windows NT Network Administration / [Pro Washington : Microsoft Press, 1996",,,,,Vlastita kupnja,,10.62,,,DA,,004.7=20 WIN,,,
"G374
191",,"30.08.1998
ID: 4640",,"KROATISCHE Speisen, modern",,"Kroatische Speisen [modern Zubereitet] / [Auswahl Zagreb : Golden marketing, 1995. ([s. l. : s. n.])",,,,,Vlastita kupnja,,13.27,,,DA,,641.568(497.5)(083.12) KRO k,,,
"G376
192",,"10.10.1999
ID: 4986",,THEMEN neu,,"Themen neu : Lehrwerk fur Deutsch als Fremdsprache Ismaning : Max Hueber Verlag, 1999 -",,,,,Dar,,6.64,,,DA,,=112.2 THE(1),,Otpisano 04.12.2023.,
"G377
193",,"10.10.2000
ID: 4988",,"AUFDERSTRASE, Hartmut",,"Themen neu : Lehrwerk fur Deutsch als Fremdsprache Ismaning : Max Hueber Verlag, 1999",,,,,Dar,,6.64,,,DA,,372 AUF t,,Otpisano 04.12.2023.,
"G379
194",,"10.10.2000
ID: 4992",,"LARDŠNAJDER, Ratka",,"Tekstovi, vježbe i zadaci iz njemačkog jezika za m Zagreb : Školska knjiga, 1992",,,,,Dar,,6.64,,,DA,,803.0 LARDŠNAJDER t,,,
"G385
195",,"15.09.2021
ID: 7069",,"BUDIN, Leo",,"Mikroračunala i mikroupravljači : udžbenik za elek Zagreb : Element, 1997",,,,,Dar,,3.98,,,DA,,004.2 BUD M,,,
"G389
196",,"10.10.2000
ID: 5214",,"GUSIĆ, Ivica",,"Matematika : za treći razred industrijskih i obrtn Zagreb : Birotehnika, 1994",,,,,Dar,,5.31,,,DA,,372(51) GUS m,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G394
197",,"10.10.2000
ID: 5453",,"MRKONJIĆ, Ivan",,"Matematika: za drugi razred industrijskih i obrtni Zagreb: Birotehnika, 1996",,,,,Dar,,6.64,,,DA,,51(076) MRK m,,,
"G395
198",,"10.10.2000
ID: 5159",,"TEŽAK, Stjepko",,"Hrvatski jezik : udžbenik za I. razred trogodišnji Zagreb : Znanje, 1998",,,,,Dar,,5.31,,,DA,,372 TEŽ h,,,
"G396
199",,"10.10.2000
ID: 5161",,"TEŽAK, Stjepko",,"Hrvatski jezik : udžbenik za II. razred trogodišnj Zagreb : Znanje, 1999",,,,,Dar,,3.98,,,DA,,372 TEŽ h,,,
"G401
200",,"27.04.2016
ID: 6525",,"KAPLAN, Harold Irvin",,"Priručnik kliničke psihijatrije / Harold I. Kaplan Jastrebarsko : Naklada Slap, 1998",,,,,Vlastita kupnja,,23.89,,,DA,,616 KAP P,,,
"G402
201",,"27.04.2016
ID: 6516",,"GRGIN, Tomislav",,"Školsko ocjenjivanje znanja / Tomislav Grgin. - Jastrebarsko : Naklada Slap, 1999",,,,,Vlastita kupnja,,10.62,,,DA,,371 GRG Š 3.izd.,,,
"G412
202",,"10.10.2002
ID: 5323",,"ŠULAK, Franjo",,"Promotivne aktivnosti : udžbenik za učenike 3. raz Zagreb : Školska knjiga, 1998",,,,,Dar,,6.64,,,DA,,659 ŠUL P,,,
"G413
203",,"10.10.1998
ID: 5072",,"HARRISON-Paj, Elizabeth",,"On holiday 1: udžbenik engleskog jezika za hotelij Zagreb: Školska knjiga,1996.",,,,,Dar,,3.98,,,DA,,802(075) HAR o1,,Otpisano 04.12.2023.,
"G416
204",,"12.04.2016
ID: 6456",,"MILETIĆ, Ljiljana",,"Zbirka riješenih zadataka iz programskog jezika / Vinkovci : Pentium, 1996",,,,,Vlastita kupnja,,11.95,,,DA,,004.43 MIL Z,,,
"G418
205",,"10.10.2002
ID: 5711",,"RAIČ, Krešimir",,"Računalstvo 1 : za srednje škole / Krešimir Raič. Vinkovci : Pentium, 1999",,,,,Dar,,6.64,,,DA,,"004(075.3) RAI r,1",,,
"G419
206",,"10.10.2002
ID: 5586",,"ČEVRA, Antun",,"Motori i motorna vozila 1 : oto, dizel i vankel-mo Zagreb : Školska knjiga, 1999",,,,,Vlastita kupnja,,7.96,,,DA,,"621.3 ČEV m,1",,,
"G420
207",,"10.10.2002
ID: 5585",,"ČEVRA, Antun",,"Motori i motorna vozila 2 / Antun Čevra. - Zagreb : Školska knjiga, 1999",,,,,Dar,,7.96,,,DA,,621.4 ČEV m,,,
"G421
208",,"27.04.2016
ID: 6506",,"GLASSER, William",,"Nastavnik u kvalitetnoj školi : posebne sugestije Zagreb : Educa, 1999",,,,,Vlastita kupnja,,15.93,,,DA,,R 371 GLAS N,,,
